N,accuracy_without,accuracy_with,delta_pp,both_correct,correct_to_wrong,wrong_to_correct,both_wrong,mcnemar_exact_p,harm_to_benefit_odds_ratio,odds_ratio_95ci_low,odds_ratio_95ci_high,category,holm_p,cluster_ci_low,cluster_ci_high,sign_flip_p,sign_flip_holm_p
19200,0.80671875,0.7877604166666666,-1.895833333333341,14373,1116,752,2959,3.6002774550267716e-17,1.4840425531914894,1.352966052815501,1.6278178562573626,Overall,,-2.3906249999999996,-1.4010416666666674,9.99990000099999e-06,
6720,0.8074404761904762,0.7958333333333333,-1.1607142857142927,5061,365,287,1007,0.002538720797041518,1.2717770034843205,1.089572686919509,1.484450524511948,dialogue,0.005077441594083036,-1.9940476190476193,-0.31250000000000067,0.013559864401355986,0.027119728802711972
2304,0.7899305555555556,0.7708333333333334,-1.909722222222221,1695,125,81,403,0.00264908799044562,1.5432098765432098,1.166833364181754,2.040991281330511,unknown_dialogue,0.005077441594083036,-3.081597222222222,-0.5642361111111122,0.024559754402455974,0.027119728802711972
3264,0.8131127450980392,0.7867647058823529,-2.634803921568629,2449,205,119,491,2.046692664283833e-06,1.7226890756302522,1.3743848994518102,2.1592624107551663,music,6.140077992851499e-06,-3.7990196078431393,-1.5625000000000013,0.00010999890001099989,0.00032999670003299966
6912,0.80859375,0.7860243055555556,-2.256944444444442,5168,421,265,1058,2.80111639051839e-09,1.588679245283019,1.362348416899322,1.8526110597591277,silence/noise,1.120446556207356e-08,-3.0526620370370354,-1.4612268518518523,1.999980000199998e-05,7.999920000799993e-05
